transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00845,2026-01-29T18:19:49Z,441.03,atm_withdrawal,AE,False,False
txn_0000001,card_00631,2026-01-24T14:29:18Z,124.76,electronics,IN,True,False
txn_0000002,card_00135,2026-01-04T16:47:57Z,121.96,pharmacy,GB,False,False
txn_0000003,card_00170,2026-01-01T04:24:56Z,191.06,entertainment,IN,True,False
txn_0000004,card_00744,2026-01-24T02:20:26Z,55.27,travel,DE,False,False
txn_0000005,card_00445,2026-01-13T18:05:26Z,305.07,entertainment,AE,False,False
txn_0000006,card_00343,2026-01-06T21:36:36Z,21.6,fuel,DE,False,False
txn_0000007,card_00307,2026-01-01T06:49:32Z,41.1,grocery,US,False,False
txn_0000008,card_00462,2026-01-04T09:46:30Z,5.7,pharmacy,SG,False,False
txn_0000009,card_00252,2026-01-20T21:17:36Z,122.36,fuel,GB,True,False
txn_0000010,card_00419,2026-01-22T10:03:45Z,101.71,atm_withdrawal,DE,False,False
txn_0000011,card_00477,2026-01-24T23:03:36Z,5.38,utilities,DE,True,False
txn_0000012,card_00233,2026-01-30T08:06:07Z,32.87,fuel,SG,False,False
txn_0000013,card_00751,2026-01-08T06:58:36Z,223.02,entertainment,GB,True,False
txn_0000014,card_00891,2026-01-17T11:04:12Z,23.06,fuel,DE,True,False
txn_0000015,card_00091,2026-01-26T18:59:49Z,432.25,entertainment,DE,True,False
txn_0000016,card_00856,2026-01-26T08:39:11Z,51.59,fuel,IN,True,False
txn_0000017,card_00387,2026-01-06T06:11:05Z,140.14,travel,IN,True,False
txn_0000018,card_00360,2026-01-11T10:51:25Z,21.23,fuel,GB,False,False
txn_0000019,card_00464,2026-01-07T05:40:43Z,7.91,restaurant,GB,True,False
txn_0000020,card_00109,2026-01-01T18:44:38Z,25.21,pharmacy,GB,True,False
txn_0000021,card_00581,2026-01-07T16:57:40Z,217.09,pharmacy,DE,True,False
txn_0000022,card_00170,2026-01-22T17:06:37Z,272.71,atm_withdrawal,AE,True,False
txn_0000023,card_00784,2026-01-09T13:39:41Z,52.54,restaurant,AE,True,True
txn_0000024,card_00184,2026-01-29T05:20:01Z,13.64,fuel,AE,False,False
txn_0000025,card_00144,2026-01-28T04:25:46Z,65.2,entertainment,AE,False,False
txn_0000026,card_00121,2026-01-11T17:41:53Z,97.17,atm_withdrawal,AE,True,False
txn_0000027,card_00868,2026-01-09T13:03:00Z,33.53,online_retail,SG,True,False
txn_0000028,card_00852,2026-01-11T14:19:44Z,75.64,fuel,DE,False,False
txn_0000029,card_00468,2026-01-16T04:48:23Z,154.63,atm_withdrawal,IN,False,False
txn_0000030,card_00343,2026-01-05T20:54:51Z,109.98,atm_withdrawal,AE,False,False
txn_0000031,card_00320,2026-01-28T21:12:28Z,193.44,pharmacy,IN,False,True
txn_0000032,card_00410,2026-01-28T19:48:16Z,103.97,pharmacy,GB,False,False
txn_0000033,card_00275,2026-01-30T03:18:47Z,73.15,electronics,AE,True,False
txn_0000034,card_00807,2026-01-06T13:52:03Z,103.72,pharmacy,IN,True,False
txn_0000035,card_00067,2026-01-06T20:50:01Z,27.64,restaurant,DE,False,False
